102,34,f,131.7,2016-05-01 03:04:06.194558+00,10
103,35,f,135.7,2016-05-01 03:04:06.208928+00,10
104,36,t,138.2,2016-05-01 03:04:06.225568+00,10
105,37,f,139.7,2016-05-01 03:04:06.239234+00,10
106,38,f,143.5,2016-05-01 03:04:06.252822+00,10
107,39,f,147.0,2016-05-01 03:04:06.268481+00,10
108,40,t,151.2,2016-05-01 03:04:06.282204+00,10
109,41,f,170.8,2016-05-01 03:04:06.296006+00,10
110,42,f,174.5,2016-05-01 03:04:06.310636+00,10
111,43,f,177.7,2016-05-01 03:04:06.323678+00,10
112,44,f,181.8,2016-05-01 03:04:06.337081+00,10
113,45,t,184.3,2016-05-01 03:04:06.351545+00,10
114,46,f,185.8,2016-05-01 03:04:06.366265+00,10
115,47,f,189.7,2016-05-01 03:04:06.38133+00,10
116,48,f,193.3,2016-05-01 03:04:06.395238+00,10
117,49,f,197.2,2016-05-01 03:04:06.408878+00,10
118,1,f,82.9,2016-05-01 03:10:49.781866+00,11
119,2,f,85.9,2016-05-01 03:10:49.805806+00,11
120,3,f,90.4,2016-05-01 03:10:49.818902+00,11
121,4,f,92.3,2016-05-01 03:10:49.831748+00,11
122,5,f,98.4,2016-05-01 03:10:49.849653+00,11
123,6,f,100.9,2016-05-01 03:10:49.865813+00,11
124,7,f,105.2,2016-05-01 03:10:49.880961+00,11
125,8,t,107.2,2016-05-01 03:10:49.894052+00,11
126,9,f,114.2,2016-05-01 03:10:49.907231+00,11
127,10,f,117.3,2016-05-01 03:10:49.921256+00,11
128,11,f,121.9,2016-05-01 03:10:49.933765+00,11
129,12,f,129.4,2016-05-01 03:10:49.946288+00,11
130,13,f,135.9,2016-05-01 03:10:49.958566+00,11
131,14,t,138.0,2016-05-01 03:10:49.971938+00,11
132,15,f,148.1,2016-05-01 03:10:49.986328+00,11
133,16,f,151.5,2016-05-01 03:10:50.001666+00,11
134,17,f,155.5,2016-05-01 03:10:50.014871+00,11
135,18,f,159.2,2016-05-01 03:10:50.028165+00,11
136,19,f,163.5,2016-05-01 03:10:50.040755+00,11
137,20,f,166.6,2016-05-01 03:10:50.053179+00,11
138,21,f,170.8,2016-05-01 03:10:50.065894+00,11
139,22,t,173.5,2016-05-01 03:10:50.078615+00,11
140,23,f,190.3,2016-05-01 03:10:50.093856+00,11
